caseIndex,scenario,seed,variability,controlLanded,rankedLanded,landingChange,controlContactQuality,rankedContactQuality,failedQualityChange,controlScore,rankedScore,controlFitness,rankedFitness,controlReason,rankedReason
25,1,101371252,0.4,true,true,0,1,1,"",70.91475128952294,81.60896827210102,63.132939880005836,73.07847407514717,"Touchdown","Touchdown"
26,2,101475981,0.4,true,true,0,1,1,"",14.7875545823361,42.313249459670565,6.432266015773148,29.384295138977677,"Touchdown","Touchdown"
27,3,101580710,0.4,true,true,0,1,1,"",14.36658150571742,43.45998888760204,6.856706699966096,31.144015852311732,"Touchdown","Touchdown"
28,4,101685439,0.4,true,false,-1,1,0.8637436230574418,"",11.87342516880399,-109.54819678793797,-17.981148057506974,-109.54819678793797,"Touchdown","Lateral impact"
29,5,101790168,0.4,true,true,0,1,1,"",3.945500010947626,37.54520676912803,-22.240861983960446,4.08834739421664,"Touchdown","Touchdown"
30,6,101894897,0.4,false,true,1,0.9201543201150365,1,"",-123.10056165187018,52.26256085295869,-123.10056165187018,30.69127140454347,"Lateral impact","Touchdown"
31,7,101999626,0.4,false,false,0,0.9133150077464044,0.47240173349268877,-0.4409132742537156,-139.840404032543,-126.18879201931946,-139.840404032543,-126.18879201931946,"Missed the ship","Lateral impact"
32,8,102104355,0.4,true,true,0,1,1,"",46.317542270756555,64.93729579674985,41.33923292170729,54.09422069052913,"Touchdown","Touchdown"
33,9,102209084,0.4,true,true,0,1,1,"",35.7755900450733,59.08681994965052,24.164825690682044,42.913247239446775,"Touchdown","Touchdown"
34,10,102313813,0.4,false,true,1,0.9168482345997345,1,"",-124.51912978946643,50.05386919576231,-124.51912978946643,28.235977228630354,"Missed the ship","Touchdown"
35,11,102418542,0.4,true,true,0,1,1,"",16.819453883376667,46.75442832888131,6.079992792156059,29.558409477846254,"Touchdown","Touchdown"
36,12,102523271,0.4,true,true,0,1,1,"",36.8894684426419,57.71595708869584,26.592449283423466,33.662966112877555,"Touchdown","Touchdown"
37,13,102628000,0.4,false,false,0,0.1740766688424544,0.1813931547180758,0.007316485875621392,-188.83820619850792,-155.72371296601284,-188.83820619850792,-155.72371296601284,"Missed the ship","Missed the ship"
38,14,102732729,0.4,true,true,0,1,1,"",49.73667849845663,59.36646126430174,44.28561078308914,55.88096987428667,"Touchdown","Touchdown"
39,15,102837458,0.4,true,true,0,1,1,"",27.869047911883058,54.5060232173592,19.322988131068573,36.041279794642165,"Touchdown","Touchdown"
40,16,102942187,0.4,true,true,0,1,1,"",17.524920716115687,44.81051462099556,8.828492641431415,37.58045032391509,"Touchdown","Touchdown"
41,17,103046916,0.4,true,true,0,1,1,"",20.33378893492295,48.423519008957385,15.334456535199598,30.03534786257864,"Touchdown","Touchdown"
42,18,103151645,0.4,false,true,1,0,1,"",-169.79209758720685,16.652514370048834,-169.79209758720685,-2.795675667374585,"Approach timed out","Touchdown"
43,19,103256374,0.4,false,false,0,0.6662972476037169,0.7856671482725133,0.11936990066879638,-149.6624047499837,-113.30244585660212,-149.6624047499837,-113.30244585660212,"Lateral impact","Lateral impact"
44,20,103361103,0.4,true,true,0,1,1,"",35.064204266048705,58.53496372757305,20.51868668785622,29.178645216357065,"Touchdown","Touchdown"
45,21,103465832,0.4,true,true,0,1,1,"",34.090959073175625,58.01530670373623,13.598326828952004,18.312213760817727,"Touchdown","Touchdown"
46,22,103570561,0.4,true,true,0,1,1,"",42.419768526836855,66.73146538227589,10.290303380939363,11.95594824596882,"Touchdown","Touchdown"
47,23,103675290,0.4,true,true,0,1,1,"",24.733956244165313,48.1592136522135,-0.1425261868740293,9.44722057081497,"Touchdown","Touchdown"
