model,mode,caseIndex,scenario,seed,variability,landed,reason,score,time,turnDegrees,error,speed,lateral,tilt,positionMargin,speedMargin,lateralMargin,tiltMargin
candidate,normal,90,18,105063681,0.4,True,Touchdown,7.759270670473839,57.89999999999885,0.18981794536119434,6.249539624754495,2.0228470701958097,0.9209365250914536,0.02390583650625143,4.750460375245505,1.5771529298041904,2.0790634749085464,0.17609416349374857
candidate,normal,91,19,105168410,0.4,False,Missed the ship,-116.00115691816382,44.5999999999996,0.033572074218329535,13.423627516313799,2.1339995960310145,1.8593532395967955,0.21474902980007568,-5.423627516313799,1.4660004039689856,1.1406467604032045,-0.01474902980007567
candidate,normal,92,20,105273139,0.4,True,Touchdown,53.26960379360372,37.84999999999999,0.09619306154249886,9.71247920513784,3.116829272442378,1.7718601032650345,0.06270250693548238,1.2875207948621608,0.483170727557622,1.2281398967349655,0.13729749306451763
candidate,normal,93,21,105377868,0.4,True,Touchdown,56.691626291831376,36.500000000000064,0.04522050776652131,9.816956638234364,3.1519594914617572,2.2600500383205633,0.05598658188964644,1.1830433617656357,0.44804050853824284,0.7399499616794367,0.14401341811035356
candidate,normal,94,22,105482597,0.4,False,Hard landing,-96.02152117264797,38.79999999999993,-0.028962624154675817,3.0187557003753525,3.7646448524006457,3.3928265542877183,0.07665942744110074,7.981244299624647,-0.16464485240064564,-0.3928265542877183,0.12334057255889927
candidate,normal,95,23,105587326,0.4,True,Touchdown,48.81124493328165,41.599999999999774,-0.15380196835098026,7.779136286564077,3.3994341718386236,2.836716414414885,0.18611666993036513,3.2208637134359233,0.20056582816137647,0.1632835855851149,0.01388333006963488
candidate,covered,0,0,95638071,0,False,Missed the ship,-522.2263241711141,3.949999999999994,0.2110956956679452,11.259110524130119,40.68281667986104,7.665394676285157,1.9165813039757957,-0.2591105241301186,-37.08281667986104,-4.665394676285157,-1.7165813039757958
candidate,covered,1,1,95742800,0,False,Flight terminated,-1084.560253917509,5.399999999999989,0.29639616775838507,,,,,,,,
candidate,covered,2,2,95847529,0,False,Flight terminated,-1095.4225013296066,5.399999999999989,0.2967956961958159,,,,,,,,
candidate,covered,3,3,95952258,0,False,Flight terminated,-1096.516822674409,5.4999999999999885,0.30337452048628544,,,,,,,,
candidate,covered,4,4,96056987,0,False,Flight terminated,-1090.8818124753434,5.249999999999989,0.289215245146003,,,,,,,,
candidate,covered,5,5,96161716,0,False,Flight terminated,-1084.9837143867062,5.249999999999989,0.28893514607223547,,,,,,,,
candidate,covered,6,6,96266445,0,False,Flight terminated,-1087.4805089050367,5.299999999999989,0.29115806711719905,,,,,,,,
candidate,covered,7,7,96371174,0,False,Flight terminated,-1095.1918327736207,5.299999999999989,0.293128830809758,,,,,,,,
candidate,covered,8,8,96475903,0,False,Missed the ship,-565.5784745805655,5.04999999999999,0.27551910027900417,15.063350026881261,60.26658598687323,12.472058152069117,2.499391444482092,-8.063350026881261,-56.66658598687323,-9.472058152069117,-2.299391444482092
candidate,covered,9,9,96580632,0,False,Flight terminated,-1087.6679251394346,5.1999999999999895,0.28419946664475176,,,,,,,,
